timestamp,open,high,low,close,volume,turnover
2025-09-27 01:00:00,2.0976,2.1211,2.0,2.0034,10918231.0,22453893.9986
2025-09-27 01:30:00,2.0034,2.0229,1.9886,2.0117,6319497.0,12686083.4811
2025-09-27 02:00:00,2.0117,2.0132,1.9416,1.9581,9582321.0,18900797.7719
2025-09-27 02:30:00,1.9581,1.9691,1.9365,1.9452,4355674.0,8503065.209
2025-09-27 03:00:00,1.9452,1.9605,1.933,1.955,4739319.0,9232742.1356
2025-09-27 03:30:00,1.955,1.9796,1.9451,1.9622,5180181.0,10172513.9172
2025-09-27 04:00:00,1.9622,2.0034,1.9435,2.0,4450600.0,8797365.692
2025-09-27 04:30:00,2.0,2.0541,1.9973,2.0538,6404220.0,12970572.0609
2025-09-27 05:00:00,2.0538,2.076,1.9968,2.014,10482599.0,21296121.5802
2025-09-27 05:30:00,2.014,2.0231,1.9795,1.9879,5162264.0,10325676.7542
2025-09-27 06:00:00,1.9879,1.9917,1.9509,1.952,4299061.0,8482437.181
2025-09-27 06:30:00,1.952,1.9746,1.9416,1.9678,5543390.0,10867405.624
2025-09-27 07:00:00,1.9678,2.0098,1.9678,1.9954,6094742.0,12134257.4866
2025-09-27 07:30:00,1.9954,2.009,1.9523,1.9547,5432067.0,10735060.8525
2025-09-27 08:00:00,1.9547,1.9823,1.9469,1.97,3996951.0,7850968.3496
2025-09-27 08:30:00,1.97,1.9865,1.9065,1.9169,6765970.0,13152815.317
2025-09-27 09:00:00,1.9169,1.9406,1.8957,1.9155,6089705.0,11661482.0437
2025-09-27 09:30:00,1.9155,1.9389,1.8888,1.926,5273337.0,10118555.3627
2025-09-27 10:00:00,1.926,1.9535,1.9194,1.9463,3538883.0,6863975.5446
2025-09-27 10:30:00,1.9463,1.977,1.9441,1.9552,4359088.0,8542600.6647
2025-09-27 11:00:00,1.9552,1.972,1.9427,1.9716,4232456.0,8288069.9672
2025-09-27 11:30:00,1.9716,1.982,1.9552,1.97,3202058.0,6299441.2519
2025-09-27 12:00:00,1.97,1.9772,1.9483,1.9765,5574827.0,10959962.6183
