timestamp,open,high,low,close,volume,turnover
2025-09-19,0.7,0.9179,0.5465,0.8994,136964101.0,99744489.3079
2025-09-20,0.8994,1.78,0.8662,1.6553,715633047.0,966738305.7922
2025-09-21,1.6553,2.0264,1.34,1.3949,783668824.0,1283727486.3547
2025-09-22,1.3949,1.6613,1.28,1.6395,761003461.0,1116538525.296
2025-09-23,1.6395,2.1652,1.4566,1.9584,728033899.0,1351295469.9343
2025-09-24,1.9584,2.4365,1.9014,2.3091,578760866.0,1290584138.8841
2025-09-25,2.3091,2.3868,1.7901,1.8773,609474652.0,1232700483.901
2025-09-26,1.8773,2.1649,1.7241,2.0273,466488229.0,894114715.3317
2025-09-27,2.0273,2.1433,1.8888,1.9215,303298526.0,608424578.7033
2025-09-28,1.9215,1.9429,1.7021,1.8558,343832347.0,626618302.983
2025-09-29,1.8558,2.0,1.7715,1.8982,285854875.0,539419886.3362
2025-09-30,1.8982,1.977,1.5068,1.621,407284394.0,690802620.7005
2025-10-01,1.621,1.7387,1.5101,1.6392,300126865.0,490585844.8305
2025-10-02,1.6392,1.8722,1.6147,1.7968,286250369.0,503653365.2628
2025-10-03,1.7968,2.15,1.7741,2.0798,333662420.0,649898248.932
2025-10-04,2.0798,2.2776,1.97,2.0617,297203753.0,621731457.2269
2025-10-05,2.0617,2.1077,1.75,1.8709,386826436.0,735694704.6544
2025-10-06,1.8709,2.2167,1.8303,2.0631,379133822.0,771489829.7288
2025-10-07,2.0631,2.1917,1.9459,2.0456,288599489.0,593413153.8263
2025-10-08,2.0456,2.1116,1.9008,1.9296,228041777.0,454406384.7595
2025-10-09,1.9296,1.9296,1.5522,1.6824,308910219.0,539244493.3961
2025-10-10,1.6824,1.8482,0.892,1.3298,666059833.0,1022962606.2691
2025-10-11,1.3298,1.4152,1.1561,1.2007,310360357.0,404940115.0624
2025-10-12,1.2007,1.5353,1.1601,1.4844,295633326.0,410462905.8672
2025-10-13,1.4844,1.5943,1.3505,1.4515,287203662.0,420140840.7517
2025-10-14,1.4515,1.5285,1.3006,1.5027,279630410.0,393770345.9356
2025-10-15,1.5027,1.5405,1.262,1.2826,233574296.0,332301180.3249
2025-10-16,1.2826,1.3637,1.1978,1.2563,268809799.0,346519196.9706
2025-10-17,1.2563,1.2877,1.019,1.1371,319930905.0,357420484.6701
